"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Area","P.I.D.#","Postal Code","Frontage - Feet","Access to Property","Permitted Land Use","Sold Price","SP/LP Ratio","Sold Price per SqFt","Sold Date","Type","Total Baths","Zoning"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307105/0/60/45/07da1b0eb89f0cffb45bf50d9263aa9b/15/45e32d67e1c7c4c6836d40dbf0e9e63d/262307105.JPG","R2285478","Residential Attached","S","405 33165 2ND AVENUE","Mission BC","$285,000","4","2","1992","0.00","Apartment/Condo","Mission","017-665-337","V2V 5V4",,,,"$285,000","0.98","$276.16","7/7/2018","Apartment/Condo","1","RML"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308223/0/60/45/d986006beee2eee9597ea9467e75bee5/13/0f1f229639cf5a52dd89fb807ceb2096/262308223.JPG","R2286596","Residential Detached","S","3710 COUGAR ROAD","Horsefly","$286,000","4","3","2005","0.00","Manufactured with Land","Williams Lake (Zone 27)","006-114-652","V0L 1L0","348.78",,,"$286,000","0.98","$158.19","7/9/2018","Manufactured with Land","3","RR1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262223071/0/60/45/ff57096440597a75ad190db963e00a89/13/b975c0672ad338c9343b0e828f2c0d34/262223071.JPG","R2201444","Residential Attached","S","210 3684 PRINCESS CRESCENT","Smithers - Town","$286,380","323","2","2014","0.00","Apartment/Condo","Smithers And Area (Zone 54)","029-773-075","V0J 2N0","0.00",,,"$286,380","1.03","$267.64","7/19/2018","Apartment/Condo","2","R3"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264047/0/60/45/73bbc71109741b0c2cfc7994b0565acf/16/e963bf4dbfc1ef1e925baec4eec9cc43/262264047.JPG","R2242420","Land Only","S","TELEGRAPH PASSAGE","Prince Rupert - Rural","$288,000","146",,,"0.00",,"Prince Rupert (Zone 52)","014-958-465","V8J 3P3","0.00","Water Access",,"$288,000","1.45",,"7/18/2018","Other",,"N/A"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309047/0/60/45/667e1d83493e3eb41538967f1e0bf442/13/59cc195d67fdf0f13f7025287e4866e7/262309047.JPG","R2287420","Residential Detached","S","4542 VALLEY CRESCENT","Foothills","$289,000","4","2","1975","5,175.00","House with Acreage","PG City West (Zone 71)","009-704-850","V2M 5L7","0.00",,,"$289,000","1.00","$158.44","7/10/2018","House with Acreage","0","RS3"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307155/0/60/45/532b816707057c06e31db40ffb801fc9/16/6a3223c349303dd8dd858bb21ee08fa8/262307155.JPG","R2285528","Residential Attached","S","303 33538 MARSHALL ROAD","Central Abbotsford","$289,000","6","1","2009","0.00","Apartment/Condo","Abbotsford","028-044-720","V2S 0C7",,,,"$289,000","0.96","$429.42","7/9/2018","Apartment/Condo","1","MF"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307259/0/60/45/6490d83658d6bdbd394bbe7c093ad08a/15/e1caccdab3e544eb0620b7ab131531c1/262307259.JPG","R2285632","Residential Attached","S","305 2350 WESTERLY STREET","Abbotsford West","$289,900","1","2","1999","0.00","Apartment/Condo","Abbotsford","024-503-851","V2T 5L1",,,,"$289,900","1.00","$309.72","7/6/2018","Apartment/Condo","2","RML"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303504/0/60/45/cc3562326c229681973beaaad5be3176/16/3893f1b29e981bb221d4283aad864819/262303504.JPG","R2281877","Residential Attached","S","105 6420 BUSWELL STREET","Brighouse","$295,000","26","2","1974","0.00","Apartment/Condo","Richmond","800-104-331","V6Y 2G3",,,,"$295,000","0.87","$335.23","7/15/2018","Apartment/Condo","1","RAM1"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262301139/0/60/45/b9f316f145d6abf8d3a2d01757cd6733/15/8f74e54e1e0533a695cce606258751a7/262301139.JPG","R2279512","Residential Detached","S","101 27111 0 AVENUE","Aldergrove Langley","$295,000","26","3","1979","0.00","Manufactured","Langley","905-001-993","V4W 2T2",,,,"$295,000","0.98","$227.62","7/4/2018","Manufactured","2","MHP"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262304639/0/60/45/3588a5a314a145fb07000b63c13af616/15/3a02ee43e7e40c77352872ef4ad519e0/262304639.JPG","R2283012","Residential Detached","S","57 1840 160 STREET","King George Corridor","$295,000","10","3","2009","0.00","Manufactured","South Surrey White Rock","905-002-108","V4A 4X4",,,,"$295,000","0.98","$221.80","7/7/2018","Manufactured","2","MHP"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308033/0/60/45/67e43fc5445b51574379c14c5f9b5948/13/9693eb445d4f9e0c84b89ef623bb8086/262308033.JPG","R2286406","Residential Detached","S","4635 STRAUME AVENUE","Terrace - City","$295,000","6","4","1954","6,100.00","House/Single Family","Terrace (Zone 88)","012-307-343","V8G 2C2","50.00",,,"$295,000","0.98","$130.65","7/9/2018","House/Single Family","3","R2"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262309470/0/60/45/412c34f3e3483660847aca9162365b3b/15/e8e0ba9a94f7d702ad52d3bd957219f9/262309470.JPG","R2287843","Residential Attached","S","108 20420 54 AVENUE","Langley City","$299,000","1","2","1976","0.00","Apartment/Condo","Langley","001-399-969","V3A 6N6",,,,"$299,000","1.00","$300.20","7/11/2018","Apartment/Condo","1","RES"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308372/0/60/45/f057bcb603474cf4ceafb9a6ede859f1/15/6e7201fcf1cc098265c5cc2d2dd3d088/262308372.JPG","R2286745","Residential Attached","S","204 5664 200 STREET","Langley City","$300,000","2","1","1984","0.00","Apartment/Condo","Langley","000-551-261","V3A 1M8",,,,"$300,000","0.95","$476.19","7/8/2018","Apartment/Condo","1","MF"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262303477/0/60/45/3eeb99d017c579851e491c78244f0b56/13/b07428ac52db79ab9a6b22d936be4704/262303477.JPG","R2281850","Residential Attached","S","100 1638 6TH AVENUE","Crescents","$300,000","25","2","1995","0.00","Apartment/Condo","PG City Central (Zone 72)","019-200-544","V2L 3N6",,,,"$300,000","0.94","$250.00","7/9/2018","Apartment/Condo","2","RM6"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262307222/0/60/45/d80c3ba38ebf36acb8108999e44465b8/15/7c56a8d32fd12dbde994a03bd539a04d/262307222.JPG","R2285595","Residential Attached","S","305 5224 204 STREET","Langley City","$300,000","6","2","1982","0.00","Apartment/Condo","Langley","001-409-361","V3A 1Z1",,,,"$300,000","1.00","$365.85","7/9/2018","Apartment/Condo","1","MF"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262308650/0/60/45/38702db70e8da74b74355ef70f9afedd/15/f66e734b45a0e32f00509aaa02c469c8/262308650.JPG","R2287023","Residential Attached","S","105 5438 198 STREET","Langley City","$300,000","3","1","2005","0.00","Apartment/Condo","Langley","026-292-386","V3A 1G2","0.00",,,"$300,000","1.00","$495.87","7/12/2018","Apartment/Condo","1","STRATA"
