"mls";"prop_type";"status";"address";"area";"sub_area";"type_of_dwelling";"sold_price";"year_built";"days_to_sold";"tot_bedrooms";"sold_date";"postal_code"
"V1089311";"Residential Attached";"Sold";"10 8088 SPIRES GATE";"Richmond";"Brighouse";"Townhouse";"532800.00";"2005";"13";"3";"2014-10-21";"V6Y 4J6"
"V1089470";"Residential Detached";"Sold";"3804 W 20TH AVENUE";"Vancouver West";"Dunbar";"House/Single Family";"1860000.00";"1936";"10";"3";"2014-10-19";"V6S 1G2"
"V1089610";"Residential Attached";"Sold";"1377 EASTERN DRIVE";"Port Coquitlam";"Mary Hill";"Townhouse";"350000.00";"1968";"12";"3";"2014-10-21";"V3C 2S3"
"V1089724";"Residential Detached";"Sold";"1615 E 56TH AVENUE";"Vancouver East";"Fraserview VE";"House/Single Family";"1165000.00";"1954";"5";"3";"2014-10-19";"V5P 2A5"
"F1420472";"Residential Attached";"Sold";"14 7298 199A STREET";"Langley";"Willoughby Heights";"Townhouse";"307984.00";"2013";"67";"3";"2014-10-19";"V2Y 0H9"
"F1420644";"Residential Attached";"Sold";"1402 11881 88TH AVENUE";"N. Delta";"Annieville";"Apartment/Condo";"242500.00";"1986";"61";"2";"2014-10-20";"V4C 8A2"
"F1420661";"Residential Detached";"Sold";"20836 97TH AVENUE";"Langley";"Walnut Grove";"House/Single Family";"580000.00";"2001";"66";"4";"2014-10-24";"V1M 3Z1"
"F1420669";"Residential Detached";"Sold";"33383 WREN CRESCENT";"Abbotsford";"Central Abbotsford";"House/Single Family";"373000.00";"1981";"70";"4";"2014-10-27";"V2S 5V9"
"V1090158";"Residential Detached";"Sold";"7920 SHACKLETON DRIVE";"Richmond";"Quilchena RI";"House/Single Family";"1088000.00";"1986";"4";"4";"2014-10-19";"V7C 5G9"
"F1420811";"Residential Attached";"Sold";"209 5765 GLOVER ROAD";"Langley";"Langley City";"Apartment/Condo";"145000.00";"1995";"64";"1";"2014-10-24";"V3A 8M8"
"V1090540";"Residential Detached";"Sold";"6231 NO 6 ROAD";"Richmond";"East Richmond";"House/Single Family";"915000.00";"9999";"6";"3";"2014-10-22";"V6W 1C7"
"F1420832";"Residential Detached";"Sold";"23330 MARY AVENUE";"Langley";"Fort Langley";"House/Single Family";"725000.00";"9999";"61";"4";"2014-10-20";"V1M 2R7"
"F1420852";"Residential Attached";"Sold";"401 15015 VICTORIA AVENUE";"South Surrey White Rock";"White Rock";"Apartment/Condo";"447000.00";"1986";"62";"2";"2014-10-22";"V4B 1G2"
"F1420872";"Residential Attached";"Sold";"714 1350 VIDAL STREET";"South Surrey White Rock";"White Rock";"Apartment/Condo";"280000.00";"1984";"54";"2";"2014-10-19";"V4B 5G6"
"F1420952";"Residential Attached";"Sold";"70 15151 34 AVENUE";"South Surrey White Rock";"Morgan Creek";"Townhouse";"487500.00";"2006";"55";"4";"2014-10-19";"V3S 4P5"
"F1420977";"Residential Detached";"Sold";"15486 COLUMBIA AVENUE";"South Surrey White Rock";"White Rock";"House/Single Family";"1475000.00";"1987";"61";"3";"2014-10-26";"V4B 1K2"
"F1421045";"Residential Detached";"Sold";"32011 KEYSTONE AVENUE";"Mission";"Mission-West";"House with Acreage";"500000.00";"1972";"62";"4";"2014-10-26";"V4S 1K6"
"F1421134";"Residential Detached";"Sold";"14589 59B AVENUE";"Surrey";"Sullivan Station";"House/Single Family";"659813.00";"2014";"55";"7";"2014-10-21";"V3S 7B4"
"V1090710";"Residential Detached";"Sold";"1427 PINETREE WAY";"Coquitlam";"Westwood Plateau";"House/Single Family";"930000.00";"1992";"7";"5";"2014-10-27";"V3E 2T6"
"V1090726";"Residential Attached";"Sold";"706 555 JERVIS STREET";"Vancouver West";"Coal Harbour";"Apartment/Condo";"493000.00";"1995";"5";"1";"2014-10-25";"V6E 4N1"
"V1090728";"Residential Detached";"Sold";"5115 CHESTER STREET";"Vancouver East";"Fraser VE";"House/Single Family";"980000.00";"1930";"7";"3";"2014-10-27";"V5W 3B1"
"V1090740";"Residential Attached";"Sold";"1006 8 LAGUNA COURT";"New Westminster";"Quay";"Apartment/Condo";"392000.00";"1991";"11";"2";"2014-10-26";"V3M 6M6"
"F1422263";"Residential Detached";"Sold";"743 LAXTON STREET";"Abbotsford";"Poplar";"House with Acreage";"970000.00";"1982";"52";"6";"2014-10-26";"V2T 6C4"
"F1422458";"Residential Attached";"Sold";"130 13321 102A STREET";"North Surrey";"Whalley";"Apartment/Condo";"267000.00";"2009";"45";"2";"2014-10-25";"V3S 3Y8"
"V1090931";"Residential Detached";"Sold";"3694 LORAINE AVENUE";"North Vancouver";"Edgemont";"House/Single Family";"2291250.00";"2014";"6";"8";"2014-10-27";"V7R 4B8"
"V1091656";"Residential Detached";"Sold";"358 PLEASANT STREET LANE";"Port Moody";"North Shore Pt Moody";"House/Single Family";"830000.00";"1980";"3";"5";"2014-10-26";"V3H 3X2"
"V1091657";"Residential Attached";"Sold";"2808 5883 BARKER AVENUE";"Burnaby South";"Central Park BS";"Apartment/Condo";"496900.00";"2017";"3";"2";"2014-10-27";"V5H 2M8"
